idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
5612,Biossido di Zolfo,µg/m³,530,Agrate Brianza v.Ferrario,162.0,MB,Agrate Brianza,S,1990-02-14T00:00:00.000,2006-05-05T00:00:00.000,5046977,527628,45.575778,9.354094,POINT (9.354094 45.575778)
5659,Biossido di Zolfo,µg/m³,589,Nembro v.Locatelli,309.0,BG,Nembro,S,1991-06-05T00:00:00.000,2003-05-31T00:00:00.000,5065779,559162,45.74304147,9.76054592,POINT (9.76054592 45.74304147)
6651,Particolato Totale Sospeso,µg/m³,503,Milano P.zza Zavattari,122.0,MI,Milano,S,1990-05-11T00:00:00.000,1999-08-01T00:00:00.000,5035847,511082,45.47606529,9.14178666,POINT (9.14178666 45.47606529)
17290,PM10 (SM2005),µg/m³,1374,Monza Parco,181.0,MB,Monza,N,2013-02-15T00:00:00.000,,5049780,521452,45.603072,9.276156,POINT (9.276156 45.603072)
17038,Arsenico,ng/m³,583,Bergamo v.Meucci,249.0,BG,Bergamo,N,2012-01-13T00:00:00.000,,5059922,550116,45.69104328,9.64366092,POINT (9.64366092 45.69104328)
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo v.Meucci,249.0,BG,Bergamo,N,2008-12-20T00:00:00.000,,5059922,550116,45.69104328,9.64366092,POINT (9.64366092 45.69104328)
6608,Particolato Totale Sospeso,µg/m³,592,Treviglio p.zza Insurrezione,191.0,BG,Treviglio,S,1991-06-05T00:00:00.000,2000-01-28T00:00:00.000,5040815,546236,45.51933533,9.59201917,POINT (9.59201917 45.51933533)
10005,Biossido di Azoto,µg/m³,684,Truccazzano via Fornasino,105.0,MI,Truccazzano,S,2006-02-17T00:00:00.000,2018-01-01T00:00:00.000,5036889,536835,45.48455958,9.47134686,POINT (9.47134686 45.48455958)
5640,Biossido di Zolfo,µg/m³,516,Robecchetto con Induno v. Pertini,135.0,MI,Robecchetto con Induno,S,1982-03-08T00:00:00.000,2010-01-18T00:00:00.000,5040503,481768,45.51782742,8.76656744,POINT (8.76656744 45.51782742)
6827,Biossido di Zolfo,µg/m³,657,Lonato del Garda v.del Marchesino,180.0,BS,Lonato del Garda,S,1990-02-16T00:00:00.000,2004-08-18T00:00:00.000,5035536,615762,45.46375819,10.48078183,POINT (10.48078183 45.46375819)
5603,Biossido di Azoto,µg/m³,600,Lodi v.Vignati,80.0,LO,Lodi,N,1999-12-30T00:00:00.000,,5017060,538042,45.30601628,9.48527511,POINT (9.48527511 45.30601628)
6779,Ossidi di Azoto,µg/m³,651,Brescia v.Triumplina,175.0,BS,Brescia,S,1999-01-16T00:00:00.000,2005-10-18T00:00:00.000,5047187,596090,45.57159144,10.23148892,POINT (10.23148892 45.57159144)
6953,PM10 (SM2005),µg/m³,659,Odolo v.Praes,349.0,BS,Odolo,N,2000-06-23T00:00:00.000,,5055661,608260,45.64605175,10.38929672,POINT (10.38929672 45.64605175)
20569,Monossido di Carbonio,mg/m³,1801,Brescia v.Tartaglia,151.0,BS,Brescia,N,2023-01-03T00:00:00.000,,5043948,594556,45.54264789,10.21120522,POINT (10.21120522 45.54264789)
6840,Ossidi di Azoto,µg/m³,658,Manerbio v.Solferino,66.0,BS,Manerbio,S,1992-08-28T00:00:00.000,2015-03-03T00:00:00.000,5022465,589673,45.34995906,10.14475383,POINT (10.14475383 45.34995906)
6807,Biossido di Zolfo,µg/m³,655,Darfo Boario Terme v. De Amicis,221.0,BS,Darfo Boario Terme,S,1999-01-01T00:00:00.000,2009-11-13T00:00:00.000,5080789,591371,45.87460256,10.17736553,POINT (10.17736553 45.87460256)
12596,Arsenico,ng/m³,609,Casirate d'Adda v. Cimitero,108.0,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,45.49822794,9.55624181,POINT (9.55624181 45.49822794)
5694,Biossido di Zolfo,µg/m³,602,Melegnano v.Predabissi,83.0,MI,Melegnano,S,2000-01-13T00:00:00.000,2007-11-08T00:00:00.000,5022361,525789,45.35428881,9.32924395,POINT (9.32924395 45.35428881)
6240,Ossidi di Azoto,µg/m³,566,Olgiate Comasco v.Roma,404.0,CO,Olgiate Comasco,S,1995-02-01T00:00:00.000,2010-04-15T00:00:00.000,5070038,497388,45.78389908,8.96640489,POINT (8.96640489 45.78389908)
