giorno,ATS,NO2_mean_ugm3,PM10_SM2005_mean_ugm3,PM25_mean_ugm3
2024-05-03,ATS_Bergamo,14.714351851851852,9.0,6.8
2024-05-03,ATS_Montagna,-6.564814814814815,9.0,5.333333333333333
2024-05-04,ATS_Bergamo,10.12962962962963,7.375,6.2
2024-05-04,ATS_Montagna,13.549537037037036,6.357142857142857,3.888888888888889
2024-05-05,ATS_Bergamo,9.74675925925926,9.875,6.2
2024-05-05,ATS_Montagna,12.553009259259259,9.428571428571429,5.555555555555555
2024-05-06,ATS_Bergamo,13.67824074074074,12.0,7.4
2024-05-06,ATS_Montagna,-27.687731481481478,13.714285714285714,7.777777777777778
2024-05-07,ATS_Bergamo,16.699537037037036,14.625,11.0
2024-05-07,ATS_Montagna,-145.77569444444444,12.538461538461538,7.444444444444445
2024-05-08,ATS_Bergamo,13.227314814814815,12.375,9.0
2024-05-08,ATS_Montagna,16.947916666666668,13.0,9.88888888888889
2024-05-09,ATS_Bergamo,15.031481481481482,11.5,8.0
2024-05-09,ATS_Montagna,-29.917129629629628,9.857142857142858,5.555555555555555
2024-05-10,ATS_Bergamo,15.227777777777776,15.375,-1990.2
2024-05-10,ATS_Montagna,-4.9773892773892765,14.928571428571429,8.555555555555555
2024-05-11,ATS_Bergamo,14.173953488372094,23.875,15.75
2024-05-11,ATS_Montagna,16.84351851851852,17.214285714285715,11.0
2024-05-12,ATS_Bergamo,11.630555555555555,22.25,15.25
2024-05-12,ATS_Montagna,13.621296296296295,16.785714285714285,11.333333333333334
2024-05-13,ATS_Bergamo,-33.67916666666666,16.0,13.75
2024-05-13,ATS_Montagna,-29.50324074074074,15.571428571428571,8.777777777777779
2024-05-14,ATS_Bergamo,12.861395348837208,20.25,14.6
2024-05-14,ATS_Montagna,-8.270833333333332,-697.7142857142857,-2214.6666666666665
2024-05-15,ATS_Bergamo,15.371296296296295,8.25,6.2
2024-05-15,ATS_Montagna,-127.6164351851852,-706.9285714285714,-1107.111111111111
2024-05-16,ATS_Bergamo,15.23671497584541,7.75,5.0
2024-05-16,ATS_Montagna,-216.97179487179486,-706.5,5.0
2024-05-17,ATS_Bergamo,-33.90243902439025,10.0,5.8
2024-05-17,ATS_Montagna,-373.79247572815535,-706.2142857142857,-1105.5555555555557
