codice_dusaf,macro_cat,area_km2
331,Boschi e zone naturali,0.0019801884603487772
12112,Industriale / Commerciale / Infrastrutture,0.0028396603780608543
12112,Industriale / Commerciale / Infrastrutture,0.0023160511378008323
12112,Industriale / Commerciale / Infrastrutture,0.003037509328820325
332,Boschi e zone naturali,0.019248624662397032
3122,Boschi e zone naturali,0.056574937415785696
3221,Boschi e zone naturali,0.007502558048805851
3211,Boschi e zone naturali,0.008841131055654044
3122,Boschi e zone naturali,0.02554535470183677
3211,Boschi e zone naturali,0.008577920805556903
2311,Agricola,0.00872912312647974
3241,Boschi e zone naturali,0.15616917166074046
333,Boschi e zone naturali,0.17459660251832154
3221,Boschi e zone naturali,0.11554544599221048
332,Boschi e zone naturali,0.027912938400756652
3211,Boschi e zone naturali,0.013208224003564653
3211,Boschi e zone naturali,0.01694251847875165
3211,Boschi e zone naturali,0.004510494439816099
3211,Boschi e zone naturali,0.004780387050682868
333,Boschi e zone naturali,0.008045792167981883
3211,Boschi e zone naturali,0.011547710049437962
332,Boschi e zone naturali,0.4926845394528387
333,Boschi e zone naturali,0.176348187342942
3211,Boschi e zone naturali,0.012330820866064856
3241,Boschi e zone naturali,0.03425773800839458
2311,Agricola,0.008979132266114598
2312,Agricola,0.025817372275516972
333,Boschi e zone naturali,0.006752772130162434
2311,Agricola,0.009222125097677702
3211,Boschi e zone naturali,0.02263385498974618
2311,Agricola,0.016380540548654027
3221,Boschi e zone naturali,0.006978326631923162
332,Boschi e zone naturali,0.0038172824695531316
3211,Boschi e zone naturali,0.00284382025850041
333,Boschi e zone naturali,0.001846033951151988
332,Boschi e zone naturali,0.4789078352379918
333,Boschi e zone naturali,0.0069357658881357715
333,Boschi e zone naturali,0.004676515588958807
3211,Boschi e zone naturali,0.013868292027571881
3211,Boschi e zone naturali,0.004622617576384646
3241,Boschi e zone naturali,0.001919272118053427
3211,Boschi e zone naturali,0.003838894053521792
2311,Agricola,0.0059801120237155244
3122,Boschi e zone naturali,0.025010559253799695
332,Boschi e zone naturali,0.004437405837369418
3241,Boschi e zone naturali,0.2244373505946295
2311,Agricola,0.009148965854396104
2312,Agricola,0.027764799717225803
3121,Boschi e zone naturali,0.09241391834074268
3211,Boschi e zone naturali,0.06856143607246624
31111,Boschi e zone naturali,12.465858890412436
3211,Boschi e zone naturali,0.031395260404420845
333,Boschi e zone naturali,0.07527415097146202
333,Boschi e zone naturali,0.01362788362014299
31122,Boschi e zone naturali,0.023309919880625984
31321,Boschi e zone naturali,0.006675275036326131
2311,Agricola,0.09053389746424069
3241,Boschi e zone naturali,0.0028388978192313897
2311,Agricola,0.00860911328970067
3241,Boschi e zone naturali,0.2571329542201268
3241,Boschi e zone naturali,0.00814098106915555
332,Boschi e zone naturali,0.003492589080718139
333,Boschi e zone naturali,0.009858779525235046
2312,Agricola,0.007532510309918125
3241,Boschi e zone naturali,0.0027000424970725465
