idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100218,Ozono,µg/m³,100073,O3 Gazzada Schianno,VA,Gazzada Schianno,N         ,2011-01-01T00:00:00.000,
100219,PM10,µg/m³,100073,PM10 Gazzada Schianno,VA,Gazzada Schianno,N         ,2011-01-01T00:00:00.000,
100220,Biossido di Azoto,µg/m³,100074,NO2 Gemonio,VA,Gemonio,N         ,2011-01-01T00:00:00.000,
100221,Ozono,µg/m³,100074,O3 Gemonio,VA,Gemonio,N         ,2011-01-01T00:00:00.000,
100222,PM10,µg/m³,100074,PM10 Gemonio,VA,Gemonio,N         ,2011-01-01T00:00:00.000,
100223,Biossido di Azoto,µg/m³,100075,NO2 Gerenzano,VA,Gerenzano,N         ,2011-01-01T00:00:00.000,
100224,Ozono,µg/m³,100075,O3 Gerenzano,VA,Gerenzano,N         ,2011-01-01T00:00:00.000,
100225,PM10,µg/m³,100075,PM10 Gerenzano,VA,Gerenzano,N         ,2011-01-01T00:00:00.000,
100226,Biossido di Azoto,µg/m³,100076,NO2 Germignaga,VA,Germignaga,N         ,2011-01-01T00:00:00.000,
100227,Ozono,µg/m³,100076,O3 Germignaga,VA,Germignaga,N         ,2011-01-01T00:00:00.000,
100228,PM10,µg/m³,100076,PM10 Germignaga,VA,Germignaga,N         ,2011-01-01T00:00:00.000,
