anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,PM10,LC,Costa Masnaga,412,511,80.6
2025-2026,PM10,BG,Costa Serina,406,511,79.5
2025-2026,PM10,BG,Costa Valle Imagna,467,511,91.4
2025-2026,PM10,BG,Costa Volpino,399,511,78.1
2025-2026,PM10,BG,Covo,469,511,91.8
2025-2026,PM10,LC,Crandola Valsassina,413,511,80.8
2025-2026,PM10,BG,Credaro,469,511,91.8
2025-2026,PM10,LC,Cremella,414,511,81.0
2025-2026,PM10,LC,Cremeno,414,511,81.0
2025-2026,PM10,CO,Cremia,466,511,91.2
2025-2026,PM10,BG,Curno,468,511,91.6
2025-2026,PM10,BG,Cusio,469,511,91.8
2025-2026,PM10,BG,Dalmine,469,511,91.8
2025-2026,PM10,BS,Darfo Boario Terme,402,511,78.7
2025-2026,PM10,SO,Dazio,409,511,80.0
2025-2026,PM10,SO,Delebio,409,511,80.0
2025-2026,PM10,LC,Dervio,415,511,81.2
2025-2026,PM10,MB,Desio,393,511,76.9
2025-2026,PM10,LC,Dolzago,413,511,80.8
2025-2026,PM10,CO,Domaso,468,511,91.6
2025-2026,PM10,CO,Dongo,465,511,91.0
2025-2026,PM10,LC,Dorio,419,511,82.0
2025-2026,PM10,BG,Dossena,469,511,91.8
2025-2026,PM10,CO,Dosso Del Liro,471,511,92.2
2025-2026,PM10,SO,Dubino,409,511,80.0
2025-2026,PM10,BS,Edolo,463,511,90.6
2025-2026,PM10,LC,Ello,412,511,80.6
2025-2026,PM10,BG,Endine Gaiano,468,511,91.6
2025-2026,PM10,BG,Entratico,469,511,91.8
2025-2026,PM10,LC,Erve,412,511,80.6
2025-2026,PM10,BS,Esine,402,511,78.7
2025-2026,PM10,LC,Esino Lario,405,511,79.3
2025-2026,PM10,SO,Faedo Valtellino,407,511,79.6
2025-2026,PM10,BG,Fara Gera D'Adda,467,511,91.4
2025-2026,PM10,BG,Fara Olivana Con Sola,469,511,91.8
2025-2026,PM10,BG,Filago,469,511,91.8
2025-2026,PM10,BG,Fino Del Monte,469,511,91.8
2025-2026,PM10,BG,Fiorano Al Serio,404,511,79.1
2025-2026,PM10,BG,Fontanella,470,511,92.0
2025-2026,PM10,BG,Fonteno,469,511,91.8
2025-2026,PM10,BG,Foppolo,469,511,91.8
2025-2026,PM10,SO,Forcola,408,511,79.8
2025-2026,PM10,BG,Foresto Sparso,467,511,91.4
2025-2026,PM10,BG,Fornovo San Giovanni,469,511,91.8
2025-2026,PM10,BG,Fuipiano Valle Imagna,467,511,91.4
2025-2026,PM10,SO,Fusine,408,511,79.8
2025-2026,PM10,LC,Galbiate,402,511,78.7
