idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
105729,Particelle sospese PM2.5,µg/m³,100697,PM2.5 San Paolo d'Argon,BG,San Paolo d'Argon,N         ,2016-01-01T00:00:00.000,,San Paolo D'Argon
105730,Particelle sospese PM2.5,µg/m³,100698,PM2.5 San Pellegrino Terme,BG,San Pellegrino Terme,N         ,2016-01-01T00:00:00.000,,San Pellegrino Terme
105731,Particelle sospese PM2.5,µg/m³,100698,PM2.5 Urbanizzato San Pellegrino Terme,BG,San Pellegrino Terme,N         ,2016-01-01T00:00:00.000,,San Pellegrino Terme
105732,Particelle sospese PM2.5,µg/m³,100699,PM2.5 Santa Brigida,BG,Santa Brigida,N         ,2016-01-01T00:00:00.000,,Santa Brigida
105733,Particelle sospese PM2.5,µg/m³,100700,PM2.5 Sant'Omobono Imagna,BG,Sant'Omobono Imagna,S         ,2016-01-01T00:00:00.000,2017-10-31T00:00:00.000,Sant'Omobono Imagna
105734,Particelle sospese PM2.5,µg/m³,100700,PM2.5 Urbanizzato Sant'Omobono Imagna,BG,Sant'Omobono Imagna,S         ,2016-01-01T00:00:00.000,2017-10-31T00:00:00.000,Sant'Omobono Imagna
105735,Particelle sospese PM2.5,µg/m³,100701,PM2.5 Sarnico,BG,Sarnico,N         ,2016-01-01T00:00:00.000,,Sarnico
105736,Particelle sospese PM2.5,µg/m³,100702,PM2.5 Scanzorosciate,BG,Scanzorosciate,N         ,2016-01-01T00:00:00.000,,Scanzorosciate
105737,Particelle sospese PM2.5,µg/m³,100703,PM2.5 Schilpario,BG,Schilpario,N         ,2016-01-01T00:00:00.000,,Schilpario
105738,Particelle sospese PM2.5,µg/m³,100704,PM2.5 Sedrina,BG,Sedrina,N         ,2016-01-01T00:00:00.000,,Sedrina
105739,Particelle sospese PM2.5,µg/m³,100704,PM2.5 Urbanizzato Sedrina,BG,Sedrina,N         ,2016-01-01T00:00:00.000,,Sedrina
105740,Particelle sospese PM2.5,µg/m³,100705,PM2.5 Selvino,BG,Selvino,N         ,2016-01-01T00:00:00.000,,Selvino
105741,Particelle sospese PM2.5,µg/m³,100706,PM2.5 Seriate,BG,Seriate,N         ,2016-01-01T00:00:00.000,,Seriate
105742,Particelle sospese PM2.5,µg/m³,100707,PM2.5 Serina,BG,Serina,N         ,2016-01-01T00:00:00.000,,Serina
105743,Particelle sospese PM2.5,µg/m³,100708,PM2.5 Solto Collina,BG,Solto Collina,N         ,2016-01-01T00:00:00.000,,Solto Collina
105744,Particelle sospese PM2.5,µg/m³,100709,PM2.5 Songavazzo,BG,Songavazzo,N         ,2016-01-01T00:00:00.000,,Songavazzo
105745,Particelle sospese PM2.5,µg/m³,100710,PM2.5 Sorisole,BG,Sorisole,N         ,2016-01-01T00:00:00.000,,Sorisole
105746,Particelle sospese PM2.5,µg/m³,100711,PM2.5 Sotto il Monte Giovanni XXIII,BG,Sotto il Monte Giovanni XXIII,N         ,2016-01-01T00:00:00.000,,Sotto Il Monte Giovanni Xxiii
105747,Particelle sospese PM2.5,µg/m³,100712,PM2.5 Sovere,BG,Sovere,N         ,2016-01-01T00:00:00.000,,Sovere
105748,Particelle sospese PM2.5,µg/m³,100713,PM2.5 Spinone al Lago,BG,Spinone al Lago,N         ,2016-01-01T00:00:00.000,,Spinone Al Lago
105749,Particelle sospese PM2.5,µg/m³,100714,PM2.5 Spirano,BG,Spirano,N         ,2016-01-01T00:00:00.000,,Spirano
105750,Particelle sospese PM2.5,µg/m³,100715,PM2.5 Stezzano,BG,Stezzano,N         ,2016-01-01T00:00:00.000,,Stezzano
105751,Particelle sospese PM2.5,µg/m³,100716,PM2.5 Strozza,BG,Strozza,N         ,2016-01-01T00:00:00.000,,Strozza
105752,Particelle sospese PM2.5,µg/m³,100716,PM2.5 Urbanizzato Strozza,BG,Strozza,N         ,2016-01-01T00:00:00.000,,Strozza
105753,Particelle sospese PM2.5,µg/m³,100717,PM2.5 Suisio,BG,Suisio,N         ,2016-01-01T00:00:00.000,,Suisio
105754,Particelle sospese PM2.5,µg/m³,100718,PM2.5 Taleggio,BG,Taleggio,N         ,2016-01-01T00:00:00.000,,Taleggio
105755,Particelle sospese PM2.5,µg/m³,100719,PM2.5 Tavernola Bergamasca,BG,Tavernola Bergamasca,N         ,2016-01-01T00:00:00.000,,Tavernola Bergamasca
105756,Particelle sospese PM2.5,µg/m³,100720,PM2.5 Telgate,BG,Telgate,N         ,2016-01-01T00:00:00.000,,Telgate
105757,Particelle sospese PM2.5,µg/m³,100721,PM2.5 Terno d'Isola,BG,Terno d'Isola,N         ,2016-01-01T00:00:00.000,,Terno D'Isola
105758,Particelle sospese PM2.5,µg/m³,100722,PM2.5 Torre Boldone,BG,Torre Boldone,N         ,2016-01-01T00:00:00.000,,Torre Boldone
105759,Particelle sospese PM2.5,µg/m³,100723,PM2.5 Torre de' Roveri,BG,Torre de' Roveri,N         ,2016-01-01T00:00:00.000,,Torre De' Roveri
105760,Particelle sospese PM2.5,µg/m³,100724,PM2.5 Torre Pallavicina,BG,Torre Pallavicina,N         ,2016-01-01T00:00:00.000,,Torre Pallavicina
105761,Particelle sospese PM2.5,µg/m³,100725,PM2.5 Trescore Balneario,BG,Trescore Balneario,N         ,2016-01-01T00:00:00.000,,Trescore Balneario
105762,Particelle sospese PM2.5,µg/m³,100726,PM2.5 Treviglio,BG,Treviglio,N         ,2016-01-01T00:00:00.000,,Treviglio
