giorno,ATS,parametro,valore_medio,n_misure
2021-03-06,ATS_Montagna,NO2,14.64,168
2021-03-06,ATS_Montagna,PM10,27.5,6
2021-03-06,ATS_Montagna,PM25,18.33,3
2021-03-07,ATS_Bergamo,NO2,18.92,216
2021-03-07,ATS_Bergamo,PM10,24.0,8
2021-03-07,ATS_Bergamo,PM25,17.6,5
2021-03-07,ATS_Montagna,NO2,20.17,168
2021-03-07,ATS_Montagna,PM10,26.33,6
2021-03-07,ATS_Montagna,PM25,18.67,3
2021-03-08,ATS_Bergamo,NO2,27.94,216
2021-03-08,ATS_Bergamo,PM10,43.0,8
2021-03-08,ATS_Bergamo,PM25,32.4,5
2021-03-08,ATS_Montagna,NO2,28.49,168
2021-03-08,ATS_Montagna,PM10,42.83,6
2021-03-08,ATS_Montagna,PM25,32.33,3
2021-03-09,ATS_Bergamo,NO2,24.91,216
2021-03-09,ATS_Bergamo,PM10,44.62,8
2021-03-09,ATS_Bergamo,PM25,32.6,5
2021-03-09,ATS_Montagna,NO2,30.8,177
2021-03-09,ATS_Montagna,PM10,50.14,7
2021-03-09,ATS_Montagna,PM25,39.67,3
2021-03-10,ATS_Bergamo,NO2,28.39,215
2021-03-10,ATS_Bergamo,PM10,40.38,8
2021-03-10,ATS_Bergamo,PM25,29.4,5
2021-03-10,ATS_Montagna,NO2,30.81,191
2021-03-10,ATS_Montagna,PM10,43.71,7
2021-03-10,ATS_Montagna,PM25,29.0,3
2021-03-11,ATS_Bergamo,NO2,42.16,215
2021-03-11,ATS_Bergamo,PM10,61.5,8
2021-03-11,ATS_Bergamo,PM25,42.2,5
2021-03-11,ATS_Montagna,NO2,45.28,190
2021-03-11,ATS_Montagna,PM10,67.0,7
2021-03-11,ATS_Montagna,PM25,44.0,3
2021-03-12,ATS_Bergamo,NO2,33.54,215
2021-03-12,ATS_Bergamo,PM10,54.0,7
2021-03-12,ATS_Bergamo,PM25,36.25,4
2021-03-12,ATS_Montagna,NO2,35.71,188
2021-03-12,ATS_Montagna,PM10,63.57,7
2021-03-12,ATS_Montagna,PM25,36.33,3
