giorno,ATS,NO2_mean_ugm3,PM10_mean_ugm3,PM25_mean_ugm3
2021-06-14,ATS_Montagna,14.81,20.0,15.0
2021-06-15,ATS_Bergamo,21.63,21.34,12.37
2021-06-15,ATS_Montagna,10.59,24.0,16.0
2021-06-16,ATS_Bergamo,24.74,28.16,16.19
2021-06-16,ATS_Montagna,17.12,32.0,19.0
2021-06-17,ATS_Bergamo,23.13,31.29,18.34
2021-06-17,ATS_Montagna,15.1,35.0,23.0
2021-06-18,ATS_Bergamo,24.87,27.19,15.19
2021-06-18,ATS_Montagna,16.3,38.0,25.0
2021-06-19,ATS_Bergamo,23.5,22.06,12.56
2021-06-19,ATS_Montagna,12.93,28.0,20.0
2021-06-20,ATS_Bergamo,17.76,35.7,17.14
2021-06-20,ATS_Montagna,13.42,32.0,22.0
2021-06-21,ATS_Bergamo,20.82,53.21,20.02
2021-06-21,ATS_Montagna,14.82,53.0,21.0
2021-06-22,ATS_Bergamo,18.57,25.7,9.05
2021-06-22,ATS_Montagna,12.15,23.0,8.0
2021-06-23,ATS_Bergamo,19.89,15.19,5.91
2021-06-23,ATS_Montagna,14.76,22.0,9.0
2021-06-24,ATS_Bergamo,20.73,11.7,6.11
2021-06-24,ATS_Montagna,10.8,14.0,8.0
2021-06-25,ATS_Bergamo,22.29,10.53,5.28
2021-06-25,ATS_Montagna,12.35,12.0,7.0
2021-06-26,ATS_Bergamo,19.88,15.0,8.15
2021-06-26,ATS_Montagna,10.92,14.0,9.0
2021-06-27,ATS_Bergamo,16.01,15.45,8.64
2021-06-27,ATS_Montagna,9.7,15.0,10.0
2021-06-28,ATS_Bergamo,21.64,20.89,10.72
2021-06-28,ATS_Montagna,13.97,21.0,16.0
2021-06-29,ATS_Bergamo,18.48,20.82,10.34
2021-06-29,ATS_Montagna,13.95,24.0,12.0
2021-06-30,ATS_Bergamo,16.94,15.09,7.38
2021-06-30,ATS_Montagna,14.68,16.0,10.0
2021-07-01,ATS_Bergamo,19.89,9.5,3.83
2021-07-01,ATS_Montagna,17.21,11.0,7.0
2021-07-02,ATS_Bergamo,22.17,16.66,8.99
2021-07-02,ATS_Montagna,15.56,19.0,11.0
2021-07-03,ATS_Bergamo,15.47,19.28,10.87
2021-07-03,ATS_Montagna,12.49,19.0,12.0
2021-07-04,ATS_Bergamo,10.98,17.59,11.67
2021-07-04,ATS_Montagna,11.84,17.0,9.0
2021-07-05,ATS_Bergamo,18.42,7.93,6.04
2021-07-05,ATS_Montagna,13.67,11.0,6.0
2021-07-06,ATS_Bergamo,18.86,13.04,7.7
2021-07-06,ATS_Montagna,15.77,15.0,11.0
2021-07-07,ATS_Bergamo,18.82,16.73,10.09
2021-07-07,ATS_Montagna,15.16,20.0,14.0
2021-07-08,ATS_Bergamo,16.69,15.15,8.69
2021-07-08,ATS_Montagna,12.53,18.0,14.0
2021-07-09,ATS_Bergamo,21.78,9.23,4.89
2021-07-09,ATS_Montagna,13.4,10.0,6.0
2021-07-10,ATS_Bergamo,18.64,11.33,8.73
2021-07-10,ATS_Montagna,13.67,11.0,7.0
2021-07-11,ATS_Bergamo,11.82,7.12,5.02
2021-07-11,ATS_Montagna,8.6,11.0,8.0
2021-07-12,ATS_Bergamo,21.86,16.68,11.49
2021-07-12,ATS_Montagna,15.93,18.0,9.0
2021-07-13,ATS_Bergamo,18.28,19.01,11.76
2021-07-13,ATS_Montagna,17.07,,
2021-07-14,ATS_Bergamo,17.0,11.01,7.51
2021-07-14,ATS_Montagna,12.57,,
2021-07-15,ATS_Bergamo,17.25,11.7,4.65
2021-07-15,ATS_Montagna,13.21,15.0,7.0
2021-07-16,ATS_Bergamo,18.08,10.64,4.83
2021-07-16,ATS_Montagna,14.12,13.0,8.0
2021-07-17,ATS_Bergamo,20.21,12.58,7.29
2021-07-17,ATS_Montagna,13.23,14.0,13.0
2021-07-18,ATS_Bergamo,14.83,10.79,5.99
2021-07-18,ATS_Montagna,12.97,19.0,11.0
2021-07-19,ATS_Bergamo,18.31,14.63,9.15
2021-07-19,ATS_Montagna,14.91,15.0,10.0
2021-07-20,ATS_Bergamo,20.21,21.59,12.36
2021-07-20,ATS_Montagna,14.53,28.0,19.0
2021-07-21,ATS_Bergamo,19.6,27.47,14.88
2021-07-21,ATS_Montagna,15.88,30.0,21.0
2021-07-22,ATS_Bergamo,19.29,25.79,15.28
2021-07-22,ATS_Montagna,13.58,27.0,14.0
2021-07-23,ATS_Bergamo,17.38,21.75,14.48
2021-07-23,ATS_Montagna,11.95,19.0,12.0
2021-07-24,ATS_Bergamo,15.42,27.67,17.24
2021-07-24,ATS_Montagna,12.1,30.0,18.0
2021-07-25,ATS_Bergamo,9.26,13.84,9.81
2021-07-25,ATS_Montagna,10.68,22.0,11.0
2021-07-26,ATS_Bergamo,14.3,8.1,2.62
2021-07-26,ATS_Montagna,13.05,14.0,5.0
2021-07-27,ATS_Bergamo,12.07,14.32,6.59
2021-07-27,ATS_Montagna,12.39,22.0,11.0
2021-07-28,ATS_Bergamo,16.21,18.53,12.57
2021-07-28,ATS_Montagna,12.48,22.0,15.0
2021-07-29,ATS_Bergamo,18.52,18.53,9.66
2021-07-29,ATS_Montagna,12.12,23.0,14.0
2021-07-30,ATS_Bergamo,19.58,23.88,12.08
2021-07-30,ATS_Montagna,14.42,21.0,23.0
2021-07-31,ATS_Bergamo,12.46,20.21,11.86
2021-07-31,ATS_Montagna,9.69,25.0,20.0
2021-08-01,ATS_Bergamo,9.15,10.08,3.8
2021-08-01,ATS_Montagna,7.6,,
2021-08-02,ATS_Bergamo,13.1,10.37,7.12
2021-08-02,ATS_Montagna,10.48,,
2021-08-03,ATS_Bergamo,15.27,14.12,8.39
2021-08-03,ATS_Montagna,11.29,11.0,7.0
2021-08-04,ATS_Bergamo,19.46,17.56,9.42
2021-08-04,ATS_Montagna,15.4,21.0,18.0
2021-08-05,ATS_Bergamo,16.24,6.71,2.99
2021-08-05,ATS_Montagna,11.99,10.0,9.0
2021-08-06,ATS_Bergamo,17.2,14.81,7.02
2021-08-06,ATS_Montagna,12.03,15.0,10.0
2021-08-07,ATS_Bergamo,14.49,17.55,7.94
2021-08-07,ATS_Montagna,10.19,17.0,9.0
2021-08-08,ATS_Bergamo,10.66,18.17,9.51
2021-08-08,ATS_Montagna,7.09,22.0,11.0
2021-08-09,ATS_Bergamo,13.83,17.54,9.62
2021-08-09,ATS_Montagna,9.33,16.0,10.0
2021-08-10,ATS_Bergamo,15.56,18.54,11.88
2021-08-10,ATS_Montagna,10.75,17.0,10.0
2021-08-11,ATS_Bergamo,17.25,21.78,14.01
2021-08-11,ATS_Montagna,12.21,25.0,12.0
2021-08-12,ATS_Bergamo,15.44,24.53,13.91
2021-08-12,ATS_Montagna,11.73,22.0,14.0
2021-08-13,ATS_Bergamo,14.41,26.72,15.08
2021-08-13,ATS_Montagna,11.64,30.0,16.0
2021-08-14,ATS_Bergamo,12.93,24.96,15.52
2021-08-14,ATS_Montagna,9.5,26.0,12.0
2021-08-15,ATS_Bergamo,10.18,28.27,16.64
2021-08-15,ATS_Montagna,9.14,27.0,13.0
2021-08-16,ATS_Bergamo,11.49,31.5,16.21
2021-08-16,ATS_Montagna,9.49,28.0,16.0
2021-08-17,ATS_Bergamo,15.88,6.46,9.52
2021-08-17,ATS_Montagna,11.55,6.0,6.0
2021-08-18,ATS_Bergamo,15.95,10.77,6.15
2021-08-18,ATS_Montagna,11.38,9.0,7.0
2021-08-19,ATS_Bergamo,15.9,12.69,8.32
2021-08-19,ATS_Montagna,10.95,14.0,8.0
2021-08-20,ATS_Bergamo,19.11,15.21,9.37
2021-08-20,ATS_Montagna,11.77,14.0,10.0
2021-08-21,ATS_Bergamo,16.93,18.02,10.86
2021-08-21,ATS_Montagna,10.8,16.0,10.0
2021-08-22,ATS_Bergamo,13.87,18.88,10.66
2021-08-22,ATS_Montagna,9.74,21.0,14.0
2021-08-23,ATS_Bergamo,16.37,16.89,8.45
2021-08-23,ATS_Montagna,13.95,17.0,13.0
2021-08-24,ATS_Bergamo,19.92,9.8,6.3
2021-08-24,ATS_Montagna,13.01,8.0,5.0
2021-08-25,ATS_Bergamo,17.52,8.78,3.81
2021-08-25,ATS_Montagna,12.43,12.0,8.0
2021-08-26,ATS_Bergamo,21.53,13.88,7.68
2021-08-26,ATS_Montagna,13.49,16.0,13.0
2021-08-27,ATS_Bergamo,19.23,13.18,5.65
2021-08-27,ATS_Montagna,13.56,13.0,9.0
2021-08-28,ATS_Bergamo,18.11,9.66,6.32
2021-08-28,ATS_Montagna,11.24,10.0,3.0
2021-08-29,ATS_Bergamo,17.38,7.69,3.59
2021-08-29,ATS_Montagna,11.1,9.0,4.0
2021-08-30,ATS_Bergamo,23.27,10.33,4.29
2021-08-30,ATS_Montagna,16.34,10.0,9.0
2021-08-31,ATS_Bergamo,26.48,13.68,7.36
2021-08-31,ATS_Montagna,17.25,11.0,8.0
2021-09-01,ATS_Bergamo,27.37,13.29,7.0
2021-09-01,ATS_Montagna,14.98,12.0,5.0
2021-09-02,ATS_Bergamo,25.27,16.27,9.75
