Variabile,Stagione_ILI,Lag,r_Pearson,p_Pearson,rho_Spearman,p_Spearman,N_punti
PM25,24-25,7,0.13378782553744983,0.6630238101521827,0.15384615384615383,0.6157988686488813,13
PM25,24-25,8,0.26625004187717993,0.4028866579240349,0.4685314685314686,0.12445479118883407,12
PM25,25-26,0,0.2642331091919517,0.26027042057180927,0.33320799648613736,0.151113595546327,20
PM25,25-26,1,0.1744494873090454,0.47504752694227537,0.38350157268017937,0.10505308948563163,19
PM25,25-26,2,0.15798073893510148,0.5312568487110589,0.182756864829757,0.46792765219452065,18
PM25,25-26,3,0.12145757383313296,0.6423872592230816,0.1667688848097729,0.5223445066581807,17
PM25,25-26,4,-0.0177349105643257,0.9480229979469075,0.06181017125905231,0.8201115700901214,16
PM25,25-26,5,-0.08658918317347636,0.7589642242993893,-0.19660418931919638,0.48249967341763056,15
PM25,25-26,6,0.11352168121173581,0.699192646514621,0.16501660150520914,0.5729185122712153,14
PM25,25-26,7,-0.08402806729339025,0.7849130520020596,-0.093535164139724,0.7611803011128879,13
PM25,25-26,8,-0.058454771313232026,0.8567998381099022,0.0665500144921429,0.8371878544641639,12
NO2,22-23,0,-0.046855713889521824,0.8444851812426701,-0.018045112781954885,0.9398091995407436,20
NO2,22-23,1,0.07276078347373074,0.7672165059814038,0.2456140350877193,0.3107928649196578,19
NO2,22-23,2,0.08674464413066042,0.7321617527780345,0.38493292053663575,0.11470802686534462,18
NO2,22-23,3,0.07152403628033087,0.7850165307970387,0.5465686274509804,0.02319384337673323,17
NO2,22-23,4,-0.026543676925706215,0.9222671313794681,0.2323529411764706,0.386511349907985,16
NO2,22-23,5,0.07054286680106298,0.802727017004242,0.22499999999999998,0.42010468690763486,15
NO2,22-23,6,-0.23211113344767906,0.4245773865171807,-0.059340659340659345,0.8403017626906825,14
NO2,22-23,7,-0.3998310248557135,0.1758511092341073,-0.24725274725274726,0.4154051197255381,13
NO2,22-23,8,-0.34956277366251837,0.2653667306079819,-0.41958041958041964,0.1745190081300594,12
NO2,23-24,0,0.1468405291587057,0.5367267368221246,0.2625047195793723,0.26351703755030526,20
NO2,23-24,1,0.21754006241095075,0.37097813269226415,0.0587977239578307,0.8110279654774857,19
NO2,23-24,2,0.1278044325819357,0.6132906386947736,0.27361903491460793,0.27191524405771955,18
NO2,23-24,3,-0.01132172678907218,0.9656010768577886,-0.06008584820352112,0.8188097840547004,17
NO2,23-24,4,-0.09155259802519838,0.7359560178087643,-0.11331864730826258,0.6760521143157764,16
NO2,23-24,5,-0.20833917455167417,0.45619406221288183,-0.5040216489819398,0.05540061746741036,15
NO2,23-24,6,-0.16518064395295412,0.5725317546876494,-0.25962611970152905,0.3700533367062261,14
NO2,23-24,7,0.15574496922466877,0.611394712396985,0.07152689022449482,0.8163794952824597,13
NO2,23-24,8,0.38925002088229477,0.2110585191196464,0.4413316750531582,0.15093472887541387,12
NO2,24-25,0,0.3987413945767072,0.08160040377606204,0.5714285714285714,0.008489085694766705,20
NO2,24-25,1,0.518401414129601,0.022970869946533995,0.6280701754385966,0.003983053847639694,19
NO2,24-25,2,0.43351009665959683,0.07229584240041506,0.4840041279669762,0.04182551548646381,18
NO2,24-25,3,0.48960809693377827,0.04606016597696057,0.5833333333333334,0.013970829934522295,17
NO2,24-25,4,0.3841876163489024,0.14178516372528568,0.35000000000000003,0.18386882202619312,16
NO2,24-25,5,0.26907559478303217,0.33216483677254166,0.22499999999999998,0.42010468690763486,15
NO2,24-25,6,0.5053925318119225,0.06525279218710596,0.5120879120879122,0.0611984861564584,14
NO2,24-25,7,0.48917354882044184,0.0897902023370653,0.4505494505494505,0.12233188767803567,13
NO2,24-25,8,0.2528080921014537,0.4279138310410152,0.34965034965034975,0.26523878689278996,12
NO2,25-26,0,0.2718271084023253,0.2463066773878306,0.5723956779366829,0.008353343861456338,20
NO2,25-26,1,0.3606871328867582,0.12924986794172183,0.6239579363286214,0.004302768372858923,19
NO2,25-26,2,0.5075579673915264,0.03153984517990445,0.6122871234126888,0.006913160408406251,18
NO2,25-26,3,0.4502144375395316,0.06976446244362246,0.5088903470298217,0.03696229424125021,17
NO2,25-26,4,0.427423658308469,0.0986635166759668,0.30905085629526163,0.24413350137013784,16
NO2,25-26,5,0.3969756261985241,0.14289253384470896,0.21447729743912333,0.4427235438524518,15
NO2,25-26,6,0.42675046130297284,0.12806940009230522,0.33663386707062665,0.2392426837513168,14
NO2,25-26,7,0.06029767638493459,0.8448634293602577,0.14855584892779697,0.6281315758271102,13
NO2,25-26,8,0.33285575082180563,0.290425872064631,0.29071848436041375,0.3592928176714777,12
